date,total_trades,total_volume_usd,avg_trade_size,total_pnl,total_fees,win_rate,sentiment
2024-03-27,38,99864.79,2628.020789473684,150.41114,31.717952,0.3157894736842105,greed
2024-03-28,13,35323.72,2717.209230769231,227.85100799999998,9.059229,0.6923076923076923,greed
2024-03-29,15,86914.37,5794.291333333333,883.097404,30.420029999999997,0.4,greed
2024-03-30,45,101103.92,2246.753777777778,1100.57514,9.939454,0.9777777777777777,greed
2024-03-31,13,39912.96,3070.2276923076925,912.786145,13.969522000000001,0.7692307692307693,greed
2024-04-01,77,339470.47,4408.7074025974025,2507.963406,83.751362,0.5454545454545454,greed
2024-04-02,41,239664.50999999998,5845.475853658536,883.760812,80.13257399999999,0.2926829268292683,greed
2024-04-03,4,16887.57,4221.8925,126.7884,1.661201,0.25,greed
2024-04-04,32,95987.73,2999.6165625,0.0,33.595684999999996,0.0,greed
2024-04-05,100,503791.8,5037.918,10706.484306,103.430138,0.9,greed
2024-04-06,16,68223.67,4263.979375,236.33513399999998,23.878277,0.25,greed
2024-04-07,23,49988.14,2173.397391304348,0.0,17.495845,0.0,greed
2024-04-08,30,211940.64,7064.688,1218.4267,61.790548,0.03333333333333333,greed
2024-04-09,3,57063.840000000004,19021.280000000002,0.0,19.972341,0.0,greed
2024-04-10,41,351735.97,8578.926097560974,5207.443414,123.107562,0.8780487804878049,greed
2024-04-11,16,76400.96,4775.06,389.743164,26.740329,0.125,greed
2024-04-12,129,442088.59,3427.0433333333335,-592.6458390000001,97.560875,0.5503875968992248,greed
2024-04-13,89,486411.25,5465.294943820225,6621.451755,118.999176,0.6853932584269663,greed
2024-04-14,107,659162.17,6160.394112149533,-36104.012520000004,213.477404,0.308411214953271,greed
2024-04-15,41,291111.19,7100.272926829269,3774.08872,40.650603999999994,0.8536585365853658,greed
2024-04-16,47,181907.17,3870.3653191489366,2467.702221,18.457685,0.9148936170212766,greed
2024-04-17,14,97562.99,6968.785000000001,2441.4683999999997,10.620963,0.9285714285714286,greed
2024-04-19,35,337257.92000000004,9635.940571428573,1946.4454620000001,118.04025999999999,0.7714285714285715,greed
2024-04-20,22,60733.24,2760.601818181818,0.0,121.289047,0.0,greed
2024-04-22,9,47993.61,5332.623333333333,0.0,16.797764,0.0,greed
2024-04-23,66,233054.9,3531.1348484848486,1119.536196,71.308476,0.5303030303030303,greed
2024-04-24,20,141275.24,7063.762,279.185907,49.446315999999996,0.3,greed
2024-04-25,74,120241.01,1624.8785135135136,0.0,160.159512,0.0,greed
2024-04-26,3,4988.290000000001,1662.7633333333335,0.0,1.745898,0.0,greed
2024-04-27,27,154264.47,5713.498888888889,4281.488139,53.99255,0.7037037037037037,greed
2024-04-28,58,43985.6,758.3724137931034,0.0,15.394946,0.0,greed
2024-04-29,45,108699.01,2415.5335555555553,526.9338359999999,38.04463,0.37777777777777777,greed
2024-04-30,24,125018.75,5209.114583333333,0.0,43.75655,0.0,greed
2024-05-01,14,87025.45,6216.103571428571,0.0,30.458908,0.0,neutral
2024-05-03,36,282682.64999999997,7852.295833333333,5306.017045,98.910681,0.4722222222222222,neutral
2024-05-04,9,58998.75,6555.416666666667,0.0,20.649559,0.0,greed
2024-05-05,6,24068.350000000002,4011.391666666667,0.916,8.412778,0.16666666666666666,greed
2024-05-06,9,206016.43,22890.714444444442,968.59038,72.105746,0.4444444444444444,greed
2024-05-07,18,108717.58,6039.865555555556,883.537693,38.039061,0.5,greed
2024-05-08,13,65973.57,5074.89,1.56576,23.076826,0.07692307692307693,greed
2024-05-09,28,221966.12,7927.361428571428,1147.595856,77.688132,0.39285714285714285,greed
2024-05-10,22,156882.0,7131.0,2101.741695,54.90869,0.2727272727272727,greed
2024-05-11,9,63248.95,7027.661111111111,251.604742,22.137125,1.0,neutral
2024-05-12,23,55179.56,2399.111304347826,0.0,19.312829,0.0,greed
2024-05-13,28,193118.9,6897.103571428571,2136.853859,67.591599,0.35714285714285715,greed
2024-05-14,23,145853.4,6341.452173913043,1150.5233050000002,51.048685,0.17391304347826086,greed
2024-05-15,36,234922.57,6525.626944444444,948.970582,82.222887,0.4722222222222222,greed
2024-05-16,27,162620.96,6022.998518518518,214.5898,56.91732,0.18518518518518517,greed
2024-05-18,25,126303.14,5052.1256,3522.3946610000003,44.206092,0.64,greed
2024-05-19,8,29998.09,3749.76125,0.0,10.499327000000001,0.0,greed
2024-05-20,10,38124.75,3812.475,-74.818442,13.343662,0.0,greed
2024-05-21,125,1100948.59,8807.588720000002,7289.397571999999,385.331944,0.112,greed
2024-05-22,6,44995.29,7499.215,0.0,15.748349000000001,0.0,greed
2024-05-23,325,401850.6,1236.4633846153845,413.347329,113.43007899999999,0.4461538461538462,greed
2024-05-24,2,50811.899999999994,25405.949999999997,821.949278,17.784165,1.0,greed
2024-05-25,16,29991.129999999997,1874.4456249999998,14.126038999999999,10.246887000000001,0.3125,greed
2024-05-26,16,53976.67,3373.541875,778.6839,18.768190999999998,0.25,greed
2024-05-27,251,151115.72,602.0546613545816,1129.35587,45.832466,0.35856573705179284,greed
2024-05-29,164,84268.76,513.8339024390243,277.791953,36.876599,0.4146341463414634,greed
2024-05-30,7,2838.09,405.4414285714286,20.951433,0.993326,0.7142857142857143,greed
2024-05-31,13,3636.14,279.70307692307694,25.35812,1.272646,0.3076923076923077,greed
2024-06-01,25,12834.62,513.3848,91.510419,4.492106,0.36,greed
2024-06-02,93,29464.51,316.822688172043,192.906947,7.792912,0.3655913978494624,greed
2024-06-03,70,21466.86,306.66942857142857,562.808208,5.378086,0.6285714285714286,greed
2024-06-04,53,24243.41,457.42283018867926,52.211438,7.432953,0.4716981132075472,greed
2024-06-05,54,25350.77,469.4587037037037,56.055506,7.1040600000000005,0.2962962962962963,greed
2024-06-06,234,137557.76,587.8536752136753,274.173187,37.079424,0.42735042735042733,greed
2024-06-07,440,1098588.76,2496.7926363636366,8902.467416,372.962664,0.4,greed
2024-06-08,29,97351.88,3356.961379310345,129.13883900000002,34.073137,0.27586206896551724,greed
2024-06-09,17,22410.22,1318.2482352941176,0.0,7.515775,0.0,greed
2024-06-10,53,46587.93,879.0175471698113,31.266804999999998,14.696328000000001,0.33962264150943394,greed
2024-06-11,123,373279.92,3034.7960975609753,4320.631811,129.928213,0.13821138211382114,greed
2024-06-12,254,193407.96,761.4486614173228,-21886.531493,63.921417,0.08267716535433071,greed
2024-06-13,79,132577.22,1678.1926582278481,6632.757115,33.39975,0.24050632911392406,greed
2024-06-14,31,139868.66,4511.892258064517,10258.592609,38.954076,0.4838709677419355,greed
2024-06-15,78,718350.25,9209.61858974359,3369.958346,251.422549,0.48717948717948717,greed
2024-06-16,11,25235.079999999998,2294.0981818181817,0.0,8.832277,0.0,greed
2024-06-17,38,368380.12,9694.213684210526,10599.502375,128.93302500000001,0.6578947368421053,greed
2024-06-18,25,263314.79,10532.5916,282.57636,67.160258,0.16,greed
2024-06-19,61,417071.12,6837.231475409836,4887.656944,138.851743,0.5081967213114754,greed
2024-06-20,39,207990.8,5333.097435897435,57478.456026,13.46905,0.20512820512820512,greed
2024-06-21,80,176264.49,2203.306125,773.5582039999999,61.277099,0.0375,greed
2024-06-22,24,169594.27000000002,7066.427916666667,756.876565,40.533382,0.3333333333333333,neutral
2024-06-23,5,1792.12,358.424,0.0,0.17921199999999998,0.0,greed
2024-06-24,31,403002.8,13000.090322580645,0.0,103.551001,0.0,neutral
2024-06-25,49,103099.08,2104.062857142857,4869.353105,36.084651,0.22448979591836735,fear
2024-06-26,72,365190.66000000003,5072.092500000001,4197.732182,127.5543,0.2916666666666667,neutral
2024-06-27,30,130486.95,4349.565,0.0,45.556012,0.0,fear
2024-06-29,75,280095.11,3734.6014666666665,6150.326145,460.295231,0.32,fear
2024-06-30,14,30520.69,2180.049285714286,0.0,17.057669,0.0,neutral
2024-07-01,64,362670.14999999997,5666.721093749999,5065.839308,425.323025,0.40625,neutral
2024-07-02,18,33347.47,1852.6372222222224,2421.253116,11.458730000000001,0.7222222222222222,neutral
2024-07-03,18,179600.66,9977.814444444444,1118.387284,62.628682,0.2222222222222222,neutral
2024-07-04,25,430568.01,17222.720400000002,0.0,113.02464499999999,0.0,fear
2024-07-05,32,272289.89,8509.0590625,0.0,95.130717,0.0,fear
2024-07-06,24,2490.17,103.75708333333334,108.87217799999999,344.35416,0.2916666666666667,fear
2024-07-07,10,498.75,49.875,61.428942,0.049875,1.0,fear
2024-07-08,1,497.64,497.64,0.0,0.0156,0.0,fear
2024-07-09,15,2736.45,182.42999999999998,648.984412,0.39756800000000003,1.0,fear
2024-07-10,56,687900.21,12283.93232142857,11977.734907,240.76504,0.6785714285714286,fear
2024-07-11,19,169887.02,8941.422105263156,1876.812082,59.460443,0.47368421052631576,fear
2024-07-12,19,89582.97,4714.893157894737,1412.314654,31.354029,0.47368421052631576,fear
2024-07-13,17,139189.19,8187.599411764706,2913.617837,48.71621,1.0,fear
2024-07-14,7,84001.13,12000.16142857143,0.0,29.400389,0.0,fear
2024-07-15,26,198344.85,7628.6480769230775,-1.0,68.995769,0.0,neutral
2024-07-16,22,144000.57,6545.480454545454,0.0,50.400180999999996,0.0,greed
2024-07-17,351,626005.53,1783.4915384615385,1859.269477,206.601913,0.4131054131054131,greed
2024-07-18,60,649704.85,10828.414166666666,3803.884311,227.396664,0.8,greed
2024-07-19,23,150269.42,6533.453043478262,2155.891114,52.594288,0.5217391304347826,greed
2024-07-20,266,244362.21,918.65492481203,2299.169566,80.758418,0.12406015037593984,greed
2024-07-21,448,234307.46,523.0077232142856,-2960.716887,64.72334,0.046875,greed
2024-07-22,154,304213.8,1975.4142857142856,1517.119876,97.459536,0.14285714285714285,greed
2024-07-23,370,358526.54,968.9906486486486,89890.302206,59.243126000000004,0.8891891891891892,greed
2024-07-24,90,69207.93,768.977,625.561479,55.067279,0.2,greed
2024-07-25,78,528555.31,6776.350128205129,916.7382600000001,224.185916,0.1282051282051282,greed
2024-07-26,152,548587.65,3609.1292763157894,2766.513113,206.567015,0.40131578947368424,greed
2024-07-27,57,905199.75,15880.697368421053,6400.623656,316.819894,0.7368421052631579,greed
2024-07-28,16,43254.68,2703.4175,587.29903,15.139122,0.75,greed
2024-07-29,39,327199.14,8389.72153846154,330.80445399999996,114.519684,0.41025641025641024,greed
2024-07-30,6,36006.47,6001.078333333334,0.0,12.602264,0.0,greed
2024-07-31,43,84506.54,1965.2683720930231,765.690884,29.577267000000003,0.32558139534883723,greed
2024-08-01,57,227774.53,3996.044385964912,167.080017,108.095036,0.07017543859649122,neutral
2024-08-02,63,396320.37,6290.799523809524,782.3681909999999,145.520462,0.2698412698412698,greed
